"","name","sizeF","type","subtype","alignmentF","hit_points","hit_dice","strength","dexterity","constitution","intelligence","wisdom","charisma","legal","moral"
"24","Adult Blue Dragon","Huge","dragon","","lawful evil",225,"18d12+108",25,10,23,16,15,19,"lawful","evil"
"25","Adult Blue Dragon","Huge","dragon","","",275,"22d12+132",24,10,22,16,14,18,"unaligned","unaligned"
"26","Adult Boreal Dragon","Huge","dragon","","chaotic neutral",212,"17d12+102",25,10,23,15,17,16,"chaotic","neutral"
"27","Adult Brass Dragon","Huge","dragon","","chaotic good",172,"15d12+75",23,10,21,14,13,17,"chaotic","good"
"28","Adult Brass Dragon","Huge","dragon","","",161,"14d12+70",22,10,20,18,14,16,"unaligned","unaligned"
"29","Adult Bronze Dragon","Huge","dragon","","lawful good",212,"17d12+102",25,10,23,16,15,19,"lawful","good"
"30","Adult Bronze Dragon","Huge","dragon","","",287,"23d12+138",24,10,22,16,14,18,"unaligned","unaligned"
"31","Adult Cave Dragon","Huge","dragon","","neutral evil",243,"18d12+126",26,12,24,12,12,20,"neutral","evil"
"32","Adult Copper Dragon","Huge","dragon","","chaotic good",184,"16d12+80",23,12,21,18,15,17,"chaotic","good"
"33","Adult Copper Dragon","Huge","dragon","","",253,"22d12+110",22,12,20,18,14,16,"unaligned","unaligned"
"34","Adult Earth Dragon","Huge","dragon","","",287,"23d12+138",22,14,22,22,14,20,"unaligned","unaligned"
"35","Adult Emerald Dragon","Huge","dragon","","",241,"23d12+92",22,22,18,22,12,18,"unaligned","unaligned"
"36","Adult Flame Dragon","Huge","dragon","","chaotic evil",212,"17d12+102",19,14,23,17,14,20,"chaotic","evil"
"37","Adult Gold Dragon","Huge","dragon","","lawful good",256,"19d12+133",27,14,25,16,15,24,"lawful","good"
"38","Adult Gold Dragon","Huge","dragon","","",324,"24d12+168",26,14,24,16,14,24,"unaligned","unaligned"
"39","Adult Green Dragon","Huge","dragon","","lawful evil",207,"18d12+90",23,12,21,18,15,17,"lawful","evil"
"40","Adult Green Dragon","Huge","dragon","","",287,"25d12+125",20,12,20,18,14,16,"unaligned","unaligned"
"41","Adult Imperial Dragon","Huge","dragon","","neutral",297,"22d12+154",27,12,25,18,16,18,"neutral","neutral"
"42","Adult Light Dragon","Huge","dragon","","neutral good",212,"17d12+102",22,10,23,16,18,17,"neutral","good"
"43","Adult Mithral Dragon","Huge","dragon","","neutral",184,"16d12+80",27,18,21,20,21,20,"neutral","neutral"
"44","Adult Red Dragon","Huge","dragon","","chaotic evil",256,"19d12+133",27,10,25,16,13,21,"chaotic","evil"
"45","Adult Red Dragon","Huge","dragon","","",310,"23d12+161",26,10,24,16,14,20,"unaligned","unaligned"
"46","Adult Rime Worm","Large","elemental","","neutral",105,"10d10+50",20,14,20,6,14,3,"neutral","neutral"
"47","Adult River Dragon","Huge","dragon","","",252,"24d12+96",18,20,18,14,20,16,"unaligned","unaligned"
"48","Adult Sapphire Dragon","Huge","dragon","","",304,"29d12+116",22,22,18,22,20,16,"unaligned","unaligned"
"49","Adult Sea Dragon","Huge","dragon","","neutral evil",225,"18d12+108",25,10,23,17,15,19,"neutral","evil"
"50","Adult Shadow Dragon","Huge","dragon","","",212,"17d12+102",22,14,22,14,14,23,"unaligned","unaligned"
"51","Adult Silver Dragon","Huge","dragon","","lawful good",243,"18d12+126",27,10,25,16,13,21,"lawful","good"
"52","Adult Silver Dragon","Huge","dragon","","",283,"21d12+147",24,14,24,16,12,20,"unaligned","unaligned"
"53","Adult Void Dragon","Huge","dragon","","chaotic neutral",229,"17d12+119",24,10,25,16,13,21,"chaotic","neutral"
"54","Adult Wasteland Dragon","Huge","dragon","","chaotic evil",225,"18d12+108",26,10,21,14,13,16,"chaotic","evil"
"55","Adult White Dragon","Huge","dragon","","chaotic evil",200,"16d12+96",22,10,22,8,12,12,"chaotic","evil"
"56","Adult White Dragon","Huge","dragon","","",250,"20d12+120",22,12,22,8,14,14,"unaligned","unaligned"
"57","Adult Wind Dragon","Huge","dragon","","chaotic neutral",237,"19d12+114",24,19,22,16,15,18,"chaotic","neutral"
"58","Adult Cave Dragon","Huge","dragon","","neutral evil",270,"20d12 + 140",27,12,25,12,14,16,"neutral","evil"
"59","Adult Flame Dragon","Huge","dragon","","chaotic evil",275,"22d12 + 132",19,14,23,17,14,20,"chaotic","evil"
"60","Adult Mithral Dragon","Huge","dragon","","neutral",253,"22d12 + 110",12,22,21,18,19,18,"neutral","neutral"
"61","Adult Sea Dragon","Huge","dragon","","neutral evil",275,"22d12 + 132",25,10,23,17,15,19,"neutral","evil"
"62","Adult Void Dragon","Huge","dragon","","chaotic neutral",229,"17d12 + 119",24,10,25,16,13,21,"chaotic","neutral"
"63","Adult Wind Dragon","Huge","dragon","","chaotic neutral",187,"15d12 + 90",24,16,22,16,15,18,"chaotic","neutral"
"64","Agnibarra","Small","monstrosity","","chaotic neutral",39,"6d6+18",12,14,16,8,10,12,"chaotic","neutral"
"65","Ahu-Nixta","Large","aberration","","neutral evil",67,"9d10+18",17,15,14,19,13,10,"neutral","evil"
"66","Ahu-Nixta Cataphract","Large","aberration","","neutral evil",135,"18d10+36",20,8,14,19,13,10,"neutral","evil"
"67","Ahu-Nixta Drudge","Medium","aberration","","neutral evil",26,"4d8+8",15,12,14,12,10,10,"neutral","evil"
"68","Ahu-Nixta Mechanon","Medium","construct","","unaligned",51,"6d8+24",16,12,18,5,14,3,"unaligned","unaligned"
"69","Ahuizotl","Small","monstrosity","","unaligned",71,"13d6+26",16,15,14,6,12,6,"unaligned","unaligned"
"70","Air Elemental","Large","elemental","","neutral",90,"12d10+24",14,20,14,6,10,6,"neutral","neutral"
"71","Air Elemental","Large","elemental","","",90,"12d10+24",10,18,14,6,10,6,"unaligned","unaligned"
"72","Akaasit","Medium","construct","","unaligned",91,"14d8+28",13,18,14,3,10,5,"unaligned","unaligned"
"73","Akanka","Medium","fey","","chaotic evil",45,"7d8+14",10,15,14,15,10,16,"chaotic","evil"
"74","Akhlut","Large","beast","","unaligned",120,"16d10+32",19,15,15,4,12,10,"unaligned","unaligned"
"75","Akkorokamui","Gargantuan","celestial","","chaotic good",189,"14d20+42",21,16,16,19,20,15,"chaotic","good"
"76","Aklea","Gargantuan","celestial","","",656,"32d20+320",30,24,30,22,24,26,"unaligned","unaligned"
"77","Akyishigal","Large","fiend","","chaotic evil",138,"12d10 + 72",21,17,22,19,14,20,"chaotic","evil"
"78","Al-Aeshma Genie","Large","elemental","","chaotic evil",172,"15d10+90",21,15,22,15,16,20,"chaotic","evil"
"79","Al-Aeshma Genie","Large","elemental","","chaotic evil",149,"13d10 + 78",21,15,22,15,16,20,"chaotic","evil"
"80","Ala","Medium","fey","","chaotic evil",127,"15d8+60",20,16,18,10,16,8,"chaotic","evil"
"81","Ala","Medium","fey","","chaotic evil",127,"15d8 + 60",20,16,18,10,16,8,"chaotic","evil"
"82","Alabaster Tree","Huge","celestial","","neutral good",105,"10d12+40",20,10,18,10,14,10,"neutral","good"
"83","Alabroza","Small","monstrosity","","unaligned",45,"10d6+10",14,15,13,4,15,7,"unaligned","unaligned"
"84","Alabroza, Bloodfiend","Small","fiend","","neutral evil",72,"16d6+16",16,15,13,9,15,14,"neutral","evil"
"85","Alazai","Large","elemental","","chaotic neutral",149,"13d10+78",21,15,22,10,16,20,"chaotic","neutral"
"86","Albino Death Weasel","Large","beast","","unaligned",45,"6d10+12",16,14,15,4,15,5,"unaligned","unaligned"
"87","Alchemical Apprentice","Small","ooze","","unaligned",63,"14d6+14",13,6,13,16,6,10,"unaligned","unaligned"
"88","Alchemical Golem","Large","construct","","unaligned",147,"14d10+70",18,7,21,7,10,1,"unaligned","unaligned"
"89","Alchemical Skunk","Small","monstrosity","","unaligned",66,"12d6+24",13,17,14,2,12,7,"unaligned","unaligned"
"90","Alchemist","Medium","humanoid","","",91,"14d8+28",11,16,14,19,14,13,"unaligned","unaligned"
"91","Alchemist Archer","Medium","humanoid","elf","any alignment",135,"18d8+54",11,20,16,18,14,10,"unaligned","unaligned"
"92","Alchemist","Small","humanoid","","lawful neutral",44,"8d6 + 16",7,16,15,16,9,8,"lawful","neutral"
"93","Alehouse Drake","Tiny","dragon","","chaotic neutral",65,"10d4+40",7,16,19,11,12,16,"chaotic","neutral"
"94","Alehouse Drake","Tiny","dragon","","chaotic neutral",45,"10d4 + 20",7,16,15,11,12,16,"chaotic","neutral"
"95","Algorith","Medium","construct","","lawful neutral",136,"16d8+64",21,14,19,13,16,18,"lawful","neutral"
"96","Algorith","Medium","construct","","lawful neutral",153,"18d8 + 72",21,14,19,13,16,18,"lawful","neutral"
"97","Alke","Large","monstrosity","","unaligned",114,"12d10+48",18,15,18,4,13,12,"unaligned","unaligned"
"98","Alkonost","Small","monstrosity","","neutral",17,"5d6",11,14,10,7,14,13,"neutral","neutral"
"99","Alligator","Medium","beast","","unaligned",11,"2d8+2",15,10,13,2,10,5,"unaligned","unaligned"
"100","Alligator Turtle","Medium","beast","","unaligned",11,"2d8+2",15,12,13,2,12,7,"unaligned","unaligned"
"101","Alliumite","Small","plant","","chaotic neutral",18,"4d6+4",6,18,12,7,12,9,"chaotic","neutral"
"102","Alliumite, Husker","Medium","plant","","chaotic neutral",68,"8d8+32",15,12,18,9,12,16,"chaotic","neutral"
"103","Alliumite, Rapscallion","Small","plant","","chaotic neutral",38,"7d6+14",6,18,14,9,12,18,"chaotic","neutral"
"104","Allosaurus","Huge","beast","","",57,"6d12+18",18,18,16,2,12,5,"unaligned","unaligned"
"105","Alnaar","Large","fiend","demon","chaotic evil",212,"25d10+75",20,22,17,9,12,10,"chaotic","evil"
"106","Alp","Small","fey","shapechanger","chaotic evil",44,"8d6+16",12,16,14,10,16,8,"chaotic","evil"
"107","Alpha Fish","Large","beast","","unaligned",59,"7d10+21",16,13,16,1,10,12,"unaligned","unaligned"
"108","Alpha Werewolf","Medium","humanoid","","",104,"16d8+32",14,14,14,10,10,10,"unaligned","unaligned"
"109","Alpha Yek","Medium","fiend","demon","chaotic evil",129,"16d8+48",16,16,16,15,13,10,"chaotic","evil"
"110","Alpine Creeper","Huge","plant","","unaligned",95,"10d12+30",3,1,17,1,4,1,"unaligned","unaligned"
"111","Alseid","Medium","monstrosity","","chaotic neutral",49,"9d8+9",13,17,12,8,16,8,"chaotic","neutral"
"112","Alseid Grovekeeper","Medium","monstrosity","","chaotic neutral",71,"13d8+13",13,17,12,8,16,8,"chaotic","neutral"
"113","Alseid","Medium","monstrosity","","chaotic neutral",33,"6d8 + 6",13,17,12,8,16,8,"chaotic","neutral"
"114","Alseid, Woad Warrior","Medium","monstrosity","","chaotic neutral",55,"10d8+10",14,17,12,8,16,10,"chaotic","neutral"
"115","Altar Flame Golem","Large","construct","","neutral",152,"16d10+64",19,9,18,3,10,1,"neutral","neutral"
"116","Amber Ooze","Large","ooze","","unaligned",76,"9d10+27",16,5,17,1,6,1,"unaligned","unaligned"
"117","Amethyst Dragon Wyrmling","Medium","dragon","","",45,"7d8+14",14,14,14,16,10,14,"unaligned","unaligned"
"118","Ammut","Large","celestial","","neutral",172,"15d10+90",20,12,23,6,16,12,"neutral","neutral"
"119","Amphibolt","Large","monstrosity","","unaligned",85,"9d10+36",16,18,18,3,9,5,"unaligned","unaligned"
"120","Amphiptere","Medium","beast","","unaligned",60,"8d8+24",11,18,17,2,16,6,"unaligned","unaligned"
"121","Amphiptere","Medium","beast","","unaligned",60,"8d8 + 24",11,18,17,2,16,6,"unaligned","unaligned"
"122","Ancient Aboleth","Huge","aberration","","",342,"36d10+144",20,12,18,20,20,18,"unaligned","unaligned"
"123","Ancient Amethyst Dragon","Gargantuan","dragon","","",313,"19d20+114",22,24,22,26,16,24,"unaligned","unaligned"
"124","Ancient Black Dragon","Gargantuan","dragon","","chaotic evil",367,"21d20+147",27,14,25,16,15,19,"chaotic","evil"
"125","Ancient Black Dragon","Gargantuan","dragon","","",367,"21d20+147",26,14,24,16,14,18,"unaligned","unaligned"
"126","Ancient Blue Dragon","Gargantuan","dragon","","lawful evil",481,"26d20+208",29,10,27,18,17,21,"lawful","evil"
"127","Ancient Blue Dragon","Gargantuan","dragon","","",407,"22d20+176",28,10,26,18,16,20,"unaligned","unaligned"
"128","Ancient Boreal Dragon","Gargantuan","dragon","","chaotic neutral",407,"22d20+176",29,10,27,17,19,18,"chaotic","neutral"
"129","Ancient Brass Dragon","Gargantuan","dragon","","chaotic good",297,"17d20+119",27,10,25,16,15,19,"chaotic","good"
"130","Ancient Brass Dragon","Gargantuan","dragon","","",367,"21d20+147",26,10,24,20,16,18,"unaligned","unaligned"
"131","Ancient Bronze Dragon","Gargantuan","dragon","","lawful good",444,"24d20+192",29,10,27,18,17,21,"lawful","good"
"132","Ancient Bronze Dragon","Gargantuan","dragon","","",425,"23d20+184",28,10,26,18,16,20,"unaligned","unaligned"
"133","Ancient Copper Dragon","Gargantuan","dragon","","chaotic good",350,"20d20+140",27,12,25,20,17,19,"chaotic","good"
"134","Ancient Copper Dragon","Gargantuan","dragon","","",367,"21d20+147",26,12,24,20,16,18,"unaligned","unaligned"
"135","Ancient Earth Dragon","Gargantuan","dragon","","",425,"23d20+184",26,14,26,16,22,14,"unaligned","unaligned"
"136","Ancient Emerald Dragon","Gargantuan","dragon","","",346,"21d20+126",26,26,22,26,14,22,"unaligned","unaligned"
"137","Ancient Flame Dragon","Gargantuan","dragon","","chaotic evil",481,"26d20+208",23,14,27,19,16,22,"chaotic","evil"
"138","Ancient Gold Dragon","Gargantuan","dragon","","lawful good",546,"28d20+252",30,14,29,18,17,28,"lawful","good"
"139","Ancient Gold Dragon","Gargantuan","dragon","","",487,"25d20+225",30,14,28,18,16,28,"unaligned","unaligned"
"140","Ancient Green Dragon","Gargantuan","dragon","","lawful evil",385,"22d20+154",27,12,25,20,17,19,"lawful","evil"
"141","Ancient Green Dragon","Gargantuan","dragon","","",420,"24d20+168",26,12,24,20,16,28,"unaligned","unaligned"
"142","Ancient Imperial Dragon","Gargantuan","dragon","","neutral",546,"28d20+252",30,12,29,20,18,20,"neutral","neutral"
"143","Ancient Light Dragon","Gargantuan","dragon","","neutral good",407,"22d20+176",26,10,27,18,20,19,"neutral","good"
"144","Ancient Mandriano","Huge","plant","","lawful evil",102,"12d12+24",21,8,15,12,10,7,"lawful","evil"
"145","Ancient Mithral Dragon","Gargantuan","dragon","","neutral",297,"17d20+119",29,16,25,24,25,24,"neutral","neutral"
"146","Ancient Red Dragon","Gargantuan","dragon","","chaotic evil",546,"28d20+252",30,10,29,18,15,23,"chaotic","evil"
"147","Ancient Red Dragon","Gargantuan","dragon","","",448,"23d20+207",30,10,28,18,16,22,"unaligned","unaligned"
"148","Ancient River Dragon","Gargantuan","dragon","","",372,"24d20+120",20,24,20,16,24,20,"unaligned","unaligned"
"149","Ancient Sapphire Dragon","Gargantuan","dragon","","",429,"26d20+156",24,24,22,26,24,20,"unaligned","unaligned"
"150","Ancient Sea Dragon","Gargantuan","dragon","","neutral evil",481,"26d20+208",29,10,27,19,17,21,"neutral","evil"
"151","Ancient Shadow Dragon","Gargantuan","dragon","","",296,"16d20+128",26,16,26,16,16,26,"unaligned","unaligned"
"152","Ancient Silver Dragon","Gargantuan","dragon","","lawful good",487,"25d20+225",30,10,29,18,15,23,"lawful","good"
"153","Ancient Silver Dragon","Gargantuan","dragon","","",429,"22d20+198",30,14,28,18,14,22,"unaligned","unaligned"
"154","Ancient Titan","Gargantuan","celestial","titan","neutral good",198,"12d20+72",27,13,22,16,16,20,"neutral","good"
"155","Ancient Void Dragon","Gargantuan","dragon","","chaotic neutral",448,"23d20+207",28,10,29,18,15,23,"chaotic","neutral"
"156","Ancient Wasteland Dragon","Gargantuan","dragon","","chaotic evil",333,"18d20+144",28,10,26,16,15,19,"chaotic","evil"
"157","Ancient White Dragon","Gargantuan","dragon","","chaotic evil",333,"18d20+144",26,10,26,10,13,14,"chaotic","evil"
"158","Ancient White Dragon","Gargantuan","dragon","","",370,"20d20+160",26,12,26,10,16,16,"unaligned","unaligned"
"159","Ancient Wind Dragon","Gargantuan","dragon","","chaotic neutral",425,"23d20+184",28,19,26,18,17,20,"chaotic","neutral"
"160","Ancient Cave Dragon","Gargantuan","dragon","","neutral evil",507,"26d20 + 234",30,12,29,14,16,18,"neutral","evil"
"161","Ancient Flame Dragon","Gargantuan","dragon","","chaotic evil",518,"28d20 + 224",23,14,27,19,16,22,"chaotic","evil"
"162","Ancient Mithral Dragon","Gargantuan","dragon","","neutral",490,"28d20 + 196",12,26,25,20,21,20,"neutral","neutral"
"163","Ancient Sea Dragon","Gargantuan","dragon","","neutral evil",518,"28d20 + 224",29,10,27,19,17,21,"neutral","evil"
"164","Ancient Titan","Gargantuan","celestial","","neutral good",198,"12d20 + 72",27,13,22,16,16,20,"neutral","good"
"165","Ancient Void Dragon","Gargantuan","dragon","","chaotic neutral",429,"22d20 + 198",28,10,29,18,15,23,"chaotic","neutral"
"166","Ancient Wind Dragon","Gargantuan","dragon","","chaotic neutral",351,"19d20 +152",28,16,26,18,17,20,"chaotic","neutral"
"167","Andrenjinyi","Gargantuan","celestial","","neutral",228,"13d20+91",30,17,25,10,18,23,"neutral","neutral"
"168","Androsphinx","Large","monstrosity","","lawful neutral",199,"19d10+95",22,10,20,16,18,23,"lawful","neutral"
"169","Angatra","Medium","undead","","neutral evil",85,"10d8+40",14,20,18,8,12,15,"neutral","evil"
"170","Angatra","Medium","undead","","neutral evil",85,"10d8 + 40",14,20,18,8,12,15,"neutral","evil"
"171","Angel, Chained","Medium","celestial","","neutral evil",88,"16d8+16",18,16,12,12,18,20,"neutral","evil"
"172","Angel, Haladron","Tiny","celestial","","lawful good",28,"8d4+8",13,12,12,15,15,10,"lawful","good"
"173","Angel, Kalkydra","Huge","celestial","","lawful good",189,"14d12+98",22,14,24,17,21,23,"lawful","good"
"174","Angel of Judgment","Huge","celestial","","neutral",229,"17d12+119",23,18,25,22,24,20,"neutral","neutral"
"175","Angel, Pelagic Deva","Medium","celestial","","neutral good",142,"15d8+75",19,18,20,17,20,22,"neutral","good"
"176","Angel, Psychopomp","Medium","celestial","","lawful neutral",68,"8d8+32",17,14,18,14,16,18,"lawful","neutral"
"177","Angel, Shrouded","Medium","celestial","","chaotic good",161,"17d8+85",18,20,20,16,22,10,"chaotic","good"
"178","Angel, Zirnitran","Huge","celestial","","neutral good",325,"26d12+156",19,14,23,25,25,20,"neutral","good"
"179","Angelic Enforcer","Large","celestial","","lawful good",152,"16d10+64",22,18,18,18,20,20,"lawful","good"
"180","Angler Worm","Huge","monstrosity","","unaligned",133,"14d12+42",14,5,16,3,14,1,"unaligned","unaligned"
"181","Angler Worm","Huge","monstrosity","","unaligned",104,"11d12 + 33",14,5,16,3,14,1,"unaligned","unaligned"
"182","Animal Lord, Mammoth Queen","Huge","fey","","chaotic good",250,"20d12+120",25,10,22,15,18,19,"chaotic","good"
"183","Animated Armor","Medium","construct","","unaligned",33,"6d8+6",14,11,13,1,3,1,"unaligned","unaligned"
"184","Animated Armor","Medium","construct","","",31,"7d8",14,10,10,1,10,1,"unaligned","unaligned"
"185","Animated Bearskin Rug","Large","construct","","unaligned",65,"10d10+10",18,13,12,1,3,1,"unaligned","unaligned"
"186","Animated Instrument","Tiny","construct","","unaligned",17,"7d4",1,12,11,1,5,15,"unaligned","unaligned"
"187","Animated Instrument, Quartet","Large","construct","","unaligned",102,"12d10+36",10,16,17,4,5,18,"unaligned","unaligned"
"188","Animated Instrument, Symphony","Gargantuan","construct","","neutral",201,"13d20+65",12,18,20,10,8,22,"neutral","neutral"
"189","Animated Offal","Huge","ooze","","unaligned",207,"18d12+90",18,6,20,1,7,1,"unaligned","unaligned"
"190","Aniwye","Large","monstrosity","shapechanger","neutral evil",102,"12d10+36",19,14,16,8,14,9,"neutral","evil"
"191","Ankheg","Large","monstrosity","","unaligned",39,"6d10+6",17,11,13,1,13,6,"unaligned","unaligned"
"192","Ankheg","Large","monstrosity","","",45,"6d10+12",16,10,14,2,14,8,"unaligned","unaligned"
"193","Ankheg Queen","Huge","monstrosity","","",59,"7d12+14",16,10,14,2,14,8,"unaligned","unaligned"
"194","Ankheg Spawn","Medium","monstrosity","","",11,"2d8+2",14,12,12,2,14,8,"unaligned","unaligned"
"195","Ankou Soul Herald","Gargantuan","dragon","","neutral",407,"22d20+176",25,10,27,17,18,19,"neutral","neutral"
"196","Ankou Soul Seeker","Large","dragon","","neutral",171,"18d10+72",17,10,19,13,14,16,"neutral","neutral"
"197","Ankylosaurus","Huge","beast","","",63,"6d12+24",18,10,18,2,12,5,"unaligned","unaligned"
"198","Annelidast","Huge","monstrosity","","unaligned",184,"16d12 + 80",26,10,20,1,10,4,"unaligned","unaligned"
"199","Anophiloi","Small","monstrosity","","neutral",33,"6d6+12",12,14,14,5,12,6,"neutral","neutral"
"200","Anubian","Medium","elemental","","chaotic evil",44,"8d8+8",12,16,12,10,12,10,"chaotic","evil"
"201","Anubian","Medium","elemental","","chaotic evil",44,"8d8 + 8",12,16,12,10,12,10,"chaotic","evil"
"202","Anzu","Large","monstrosity","","neutral",152,"16d10+64",20,14,18,7,15,10,"neutral","neutral"
"203","Apau Perape","Large","fiend","demon","chaotic evil",95,"10d10+40",21,18,19,10,12,15,"chaotic","evil"
"204","Apau Perape","Large","fiend","","chaotic evil",95,"10d10 + 40",21,18,19,10,12,15,"chaotic","evil"
"205","Apaxrusl","Medium","construct","","neutral",60,"8d8+24",17,13,16,9,6,7,"neutral","neutral"
"206","Ape","Medium","beast","","unaligned",19,"3d8+6",16,14,14,6,12,7,"unaligned","unaligned"
"207","Ape","Medium","beast","","",19,"3d8+6",16,14,14,6,12,6,"unaligned","unaligned"
"208","Aphasian Abomination","Large","construct","","unaligned",170,"20d10+60",1,20,16,17,20,5,"unaligned","unaligned"
"209","Apprentice Mage","Medium","humanoid","","",11,"2d8+2",10,10,12,14,10,10,"unaligned","unaligned"
"210","Arachnocrat","Medium","fiend","devil","lawful evil",93,"17d8+17",13,17,12,16,14,18,"lawful","evil"
"211","Arbeyach","Large","fiend","devil","lawful evil",275,"22d10+154",22,20,25,19,21,25,"lawful","evil"
"212","Arborcyte","Large","plant","","chaotic neutral",127,"15d10+45",21,12,16,5,10,3,"chaotic","neutral"
"213","Arboreal Grappler","Medium","aberration","","neutral evil",90,"12d8+36",16,16,16,6,10,6,"neutral","evil"
"214","Arboreal Grappler","Medium","aberration","","neutral evil",90,"12d8 + 36",16,16,16,6,10,6,"neutral","evil"
"215","Arcamag","Tiny","monstrosity","shapechanger","neutral",22,"5d4+10",7,10,15,5,12,18,"neutral","neutral"
"216","Arcanaphage","Medium","monstrosity","","unaligned",60,"8d8+24",10,18,16,2,10,8,"unaligned","unaligned"
"217","Arcane Blademaster","Medium","humanoid","","",256,"27d8+135",20,12,20,20,14,12,"unaligned","unaligned"
"218","Arcane Leviathan","Gargantuan","construct","","unaligned",279,"18d20+90",26,5,21,5,17,8,"unaligned","unaligned"
"219","Arcane Scavenger","Large","construct","","neutral",127,"17d10+34",19,18,14,16,16,13,"neutral","neutral"
"220","Archaeopteryx","Tiny","beast","","unaligned",7,"3d4",6,13,10,2,14,6,"unaligned","unaligned"
"221","Archfey","Medium","fey","","",330,"44d8+132",16,20,16,16,20,20,"unaligned","unaligned"
"222","Archmage","Medium","humanoid","any race","any alignment",99,"18d8+18",10,14,12,20,15,16,"unaligned","unaligned"
"223","Archmage","Medium","humanoid","","",117,"18d8+36",10,14,14,20,16,14,"unaligned","unaligned"
"224","Archon, Siege","Huge","celestial","","lawful good",187,"15d12+90",22,14,22,10,20,17,"lawful","good"
"225","Archon, Ursan","Large","celestial","","chaotic good",142,"15d10+60",21,14,18,13,17,16,"chaotic","good"
"226","Archon, Word","Tiny","celestial","","lawful good",28,"8d4+8",10,14,13,13,17,16,"lawful","good"
"227","Archpriest","Medium","humanoid","","",150,"20d8+60",18,10,16,14,20,16,"unaligned","unaligned"
"228","Aridni","Small","fey","","neutral evil",82,"15d6+30",9,21,14,12,11,16,"neutral","evil"
"229","Aridni","Small","fey","","neutral evil",82,"15d6 + 30",9,21,14,12,11,16,"neutral","evil"
"230","Armory Golem","Large","construct","","unaligned",136,"16d10+48",20,14,16,10,10,2,"unaligned","unaligned"
"231","Arx","Large","fiend","","lawful evil",171,"18d10 + 72",20,8,19,11,15,8,"lawful","evil"
"232","Asanbosam","Large","aberration","","chaotic evil",102,"12d10+36",18,13,17,11,10,5,"chaotic","evil"
"233","Asanbosam","Large","aberration","","chaotic evil",102,"12d10 + 36",18,13,17,11,10,5,"chaotic","evil"
"234","Ascetic Grandmaster","Medium","humanoid","","",172,"23d8+69",16,20,16,10,20,10,"unaligned","unaligned"
"235","Ash Drake","Small","dragon","","neutral evil",117,"18d6+54",14,15,16,9,15,10,"neutral","evil"
"236","Ash Phoenix","Large","undead","","neutral evil",105,"14d10+28",17,20,15,8,14,9,"neutral","evil"
"237","Ash Drake","Small","dragon","","neutral evil",117,"18d6 + 54",14,15,16,9,15,10,"neutral","evil"
